title,uri,type,representative_latitude,representative_longitude,location_precision,
Tert-Aba,https://pleiades.stoa.org/places/95703249,cemetery,53.010556,90.180056,precise,
South Necropolis (Pergamon),https://pleiades.stoa.org/places/956778056,cemetery,39.1155,27.180500000000000,precise,
Temple of Vespasian,https://pleiades.stoa.org/places/95873554,temple-2,40.7495988033982,14.485197005885500,precise,
Tomb of Annedia and Lucius Caesius,https://pleiades.stoa.org/places/95829693,tomb,40.74882917607630,14.49293817365400,precise,
Phourni,https://pleiades.stoa.org/places/9547769,cemetery,35.24532133933720,25.15877469500420,precise,
Belas Knap Longbarrow,https://pleiades.stoa.org/places/954446706,tumulus,51.92743589793900,-1.970967297078160,precise,
Mausoleo di Ummidia Quadratilla,https://pleiades.stoa.org/places/954457992,tomb,41.482579659814700,13.822069543246000,precise,
Sanctuary of Asklepios at Athens,https://pleiades.stoa.org/places/954340915,sanctuary,37.97085785,23.7263419,precise,
Kelisaye Espakho,https://pleiades.stoa.org/places/952084,temple,37.504626,56.347198,precise,
heroon of Aeneas,https://pleiades.stoa.org/places/952037562,tumulus,41.6564982,12.479225950000000,precise,
Pisciarelli necropolis,https://pleiades.stoa.org/places/952765525,cemetery,42.11903731125230,11.829405745833700,precise,
"Monte Abatone necropolis, Caere",https://pleiades.stoa.org/places/955903121,cemetery,41.991566,12.116469,precise,
Temple of Artemis and Apollo,https://pleiades.stoa.org/places/955675680,sanctuary,38.6365129474098,22.895416920890300,precise,
Ptghnavank,https://pleiades.stoa.org/places/955155101,church-2,40.254975126467500,44.584069017555600,precise,
Mithraeum at Mundelsheim,https://pleiades.stoa.org/places/955393848,temple-2,49.0088874,9.2106519,precise,
Hala Sultan Tekke,https://pleiades.stoa.org/places/790744210,cemetery,34.88592473704850,33.606767369811600,precise,
Qaziqulu necropolis,https://pleiades.stoa.org/places/790295319,cemetery,40.95085242193730,45.59818075141240,precise,
Uley,https://pleiades.stoa.org/places/79726,temple-2,51.695677,-2.305694,precise,
Wanborough,https://pleiades.stoa.org/places/79746,temple-2,51.23152,-0.664466,precise,
Weycock Hill,https://pleiades.stoa.org/places/79755,temple-2,51.504277,-0.81456,precise,
Woodeaton,https://pleiades.stoa.org/places/79769,temple-2,51.803411,-1.225998,precise,
Tara,https://pleiades.stoa.org/places/79708,sanctuary,53.58072907846130,-6.610382008798400,precise,
