Object ID,Name,place type,Analysis,Information,Entity type,Pleiades,[Location] Long,[Location] Lat,In - Object ID,In - Name,Pleiades,In - [Location] Geometry,Near - Object ID,Near - Name,Pleiades,Near - [Location] Geometry,Alt. name for - Object ID,Name,Pleiades,Alt. name for - [Location] Geometry
10956126,🌍 the Sanctuary of Athena Sciras at Phaleron (Attica) built by the seer Sciros of Dodona,sanctuary,4,built by the seer Sciros of Dodona,Place,397011004,23.706248,37.937309,10093321,🌍 Phaleron (Attica) old harbor of Athens,580072,"23.706248, 37.937309",,,,,,,,
11302884,🌍 the Sanctuary of the Dioscouroi at Sparta containing the tomb of Castor,sanctuary,1,containing the tomb of Castor,Place,,22.4272985,37.077905,8194308,🌍 Sparta (Laconia) city in Laconia,570685,"22.4272985, 37.077905",,,,,,,,
11305298,🌍 the Sanctuary of Athena Onca at Thebes,sanctuary,4,,Place,,23.317577,38.319156,8253960,🌍 Thebes (Boiotia) city in Boiotia,541138,"23.317577, 38.319156",9613750,🏛️ the Oncaidian Gates (Thebes) on the Walls of Thebes,,,,,,
9610214,🌍 the Sanctuary of Poseidon at Onchestos,sanctuary,6,,Place,,23.150267,38.373269,8253968,🌍 Onchestos (Boiotia) city in Boiotia,540984,"23.150267, 38.373269",,,,,,,,
9614063,🌍 the Sanctuary of Athena Alea at Tegea,sanctuary,6,,Place,,22.420672,37.455301,8254025,🌍 Tegea (Arcadia) city in Arcadia,570707,"22.420672, 37.455301",,,,,,,,
9619261,🌍 the Sanctuary of Pandrosos at Athens on the Acropolis of Athens,sanctuary,3,on the Acropolis of Athens,Place,,23.726166,37.971421,8188821,🌍 the Acropolis of Athens,638356144,"23.726166, 37.971421",,,,,,,,
10113694,🌍 the Sanctuary of Zeus on Mount Ithome (Messenia),sanctuary,2,,Place,,21.9249021,37.1857343,10113693,🌍 Mount Ithome (Messenia) mountain in Messenia,570318,"21.9249021, 37.1857343",,,,,,,,
10146629,🌍 the Sanctuary of Eleusinian Demeter near Mount Taygetos (Laconia),sanctuary,4,,Place,,22.349956,36.953544,,,,,10126454,🌍 Mount Taygete (Laconia/Messenia) mountain range between Laconia and Messenia,570706,"22.349956, 36.953544",,,,
10146654,🌍 the Sanctuary of Athena at Phaselis (Lycia),sanctuary,1,,Place,,30.552166525760004,36.523492188586,11010368,🌍 Phaselis (Lycia) city in Lycia,639051,"30.552166525760004, 36.523492188586",,,,,,,,
10146667,🌍 the Sanctuary of Zeus Messapeus near Brysiai (Laconia),sanctuary,1,,Place,573373,,,,,,,11297298,🌍 Bryseai (Laconia) city in Laconia,573155,,,,,
10146680,🌍 the Sanctuary of Achilles near Sparta (Laconia) north of Sparta (unlocated),sanctuary,1,north of Sparta (unlocated),Place,,22.4272985,37.077905,,,,,8194308,🌍 Sparta (Laconia) city in Laconia,570685,"22.4272985, 37.077905",,,,
10149801,🌍 the Sanctuary of Athena at Onougnathos (Laconia),sanctuary,2,,Place,,22.9334794,36.4642453,10055298,🌍 Onougnathos (Laconia) promontory (now an island) to south of Laconia,570533,"22.9334794, 36.4642453",,,,,,,,
10150313,🌍 the Sanctuary of Theseus at Athens,sanctuary,-,,Place,,23.726268222012,37.972453602957,8188815,🌍 Athens (Attica) city in Attica,579885,"23.726268222012, 37.972453602957",,,,,,,,
10150351,🌍 the Sanctuary of Artemis Orthia at Sparta,sanctuary,3,,Place,,22.4272985,37.077905,8194308,🌍 Sparta (Laconia) city in Laconia,570685,"22.4272985, 37.077905",,,,,,,,
10150378,🌍 the Sanctuary of Athena Poliouchos at Sparta on the Citadel of Sparta,sanctuary,1,on the Citadel of Sparta,Place,,,,10150382,🌍 the Citadel of Sparta in Laconia,,,,,,,,,,
10150395,🌍 the Sanctuary of Artemis Issoria at Sparta,sanctuary,2,,Place,,22.4272985,37.077905,8194308,🌍 Sparta (Laconia) city in Laconia,570685,"22.4272985, 37.077905",,,,,,,,
10150401,🌍 the Sanctuary of Demeter Chthonia at Sparta,sanctuary,2,,Place,,22.4272985,37.077905,8194308,🌍 Sparta (Laconia) city in Laconia,570685,"22.4272985, 37.077905",,,,,,,,
10150572,🌍 the Sanctuary of Aphrodite at Palaipaphos (Cyprus),sanctuary,3,,Place,,32.579086,34.7053255,9619334,🌍 Paphos (Cyprus) city on Cyprus,707596,"32.579086, 34.7053255",,,,,,,,
10150588,🌍 the Sanctuary of Athena Axiopoinos at Sparta,sanctuary,1,,Place,,22.4272985,37.077905,8194308,🌍 Sparta (Laconia) city in Laconia,570685,"22.4272985, 37.077905",,,,,,,,
10150590,🌍 the Sanctuary of Athena at Sparta founded by Theras,sanctuary,1,founded by Theras,Place,,22.4272985,37.077905,8194308,🌍 Sparta (Laconia) city in Laconia,570685,"22.4272985, 37.077905",,,,,,,,
10150610,🌍 the Sanctuary of Hera Aigophagos at Sparta,sanctuary,1,,Place,,22.4272985,37.077905,8194308,🌍 Sparta (Laconia) city in Laconia,570685,"22.4272985, 37.077905",,,,,,,,
10150989,🌍 the Sanctuary of the Dioscouroi at Athens,sanctuary,1,,Place,,23.726268222012,37.972453602957,8188815,🌍 Athens (Attica) city in Attica,579885,"23.726268222012, 37.972453602957",,,,,,,,
10151018,🌍 the Sanctuary of Sarapis at Athens,sanctuary,2,,Place,,23.726268222012,37.972453602957,8188815,🌍 Athens (Attica) city in Attica,579885,"23.726268222012, 37.972453602957",,,,,,,,
